"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.48333333333333","8.48333333333333","8.48333333333333","8.5","8.05","8.11111111111111","8.30555555555556","8.06315789473684","10.2904761904762","10.3571428571429","10.3571428571429","10.6238095238095","10.7047619047619","10.6238095238095","11.0714285714286","","",
"inicial del dividendo demográfico","EAR","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7905660377358","11.7603773584906","11.6685185185185","11.6814814814815","11.7759259259259","11.7888888888889","11.8555555555556","11.6642857142857","11.9901639344262","12.0754098360656","12.1573770491803","12.2311475409836","12.3639344262295","12.4885245901639","12.5852459016393","","",
"Asia oriental y el Pacífico","EAS","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.16666666666667","9.16","9.212","9.312","8.96","9.004","9.36","9.22692307692308","11.0103448275862","11.0172413793103","11.0310344827586","11.2586206896552","11.3793103448276","11.3379310344828","11.6655172413793","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.275","26.2882352941176","24.7294117647059","24.6764705882353","21.5944444444444","20.9222222222222","20.1222222222222","20.1777777777778","20.4631578947368","19.4736842105263","19.5526315789474","19.4473684210526","18.5105263157895","18.4157894736842","18.5789473684211","","",
"Europa y Asia central","ECS","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.7","27.5577777777778","26.8511111111111","26.4326086956522","25.1191489361702","24.6595744680851","24.4382978723404","24.5958333333333","24.5448979591837","24.1510204081633","24.2326530612245","24.065306122449","23.2265306122449","23.116","22.874","","",
"Ecuador","ECU","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","13.7","","",
"Egipto, República Árabe de","EGY","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4","25.4","25.4","25.6","25.6","25.8","27.1","25.8","23.4","23.9","24.1","24.4","27.3","28.8","25.5","","",
"Zona del Euro","EMU","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.6375","31.3823529411765","31.2470588235294","30.05","29.9666666666667","29.6111111111111","28.7421052631579","28.8157894736842","28.7789473684211","28.7947368421053","28.8947368421053","28.7684210526316","27.4947368421053","27.9473684210526","28.2736842105263","","",
"Eritrea","ERI","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"España","ESP","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3","36.4","36.5","36.2","34.2","33.7","35.5","35.5","35.2","35.4","35.6","35.6","35.6","35.7","35.8","","",
"Estonia","EST","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6","38.5","38.3","38.3","38.3","39.2","39.4","39.4","39.4","39","39","38.8","38.8","38.8","38","","",
"Etiopía","ETH","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","3.9","8.5","9.6","11.3","12.4","12.4","12.4","12.4","","",
"Unión Europea","EUU","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6625","30.764","30.268","29.4692307692308","29.1730769230769","28.5884615384615","27.8592592592593","27.9518518518519","27.8481481481481","27.8407407407407","27.9222222222222","27.7111111111111","26.8444444444444","27","26.3333333333333","","",
"Frágiles y situaciones de conflicto afectados","FCS","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.284375","13","13.10625","13.10625","12.9151515151515","13.0848484848485","13.5181818181818","13.3444444444444","13.2459459459459","12.9432432432432","13.0675675675676","13.1378378378378","13.1378378378378","13.1837837837838","13.5837837837838","","",
"Finlandia","FIN","Impuestos laborales y contribuciones (% de ganancias comerciales)","IC.TAX.LABR.CP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.4","29.6","29.7","29.7","29.6","23.9","24.2","24.4","24.5","24.2","24.8","25.1","25.4","23.9","23","","",
